Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R25","36K","R_0805_2012Metric",50.3800,-52.6644,270.0000,top
"R26","36K","R_0805_2012Metric",48.4800,-52.6644,270.0000,top
"R27","36K","R_0805_2012Metric",60.7000,-47.9800,0.0000,top
"R28","36K","R_0805_2012Metric",52.2800,-52.6744,270.0000,top
"R29","36K","R_0805_2012Metric",72.9910,-48.1178,270.0000,top
"SW5","Tactile Button","SW_PUSH-12mm_Wuerth",30.0000,-67.0000,0.0000,top
"SW6","Tactile Button","SW_PUSH-12mm_Wuerth",105.0000,-67.0000,0.0000,top
"SW7","Tactile Button","SW_PUSH-12mm_Wuerth",180.0000,-67.0000,0.0000,top
"SW8","Tactile Button","SW_PUSH-12mm_Wuerth",30.0000,-119.0000,0.0000,top
"SW9","Tactile Button","SW_PUSH-12mm_Wuerth",105.0000,-119.0000,0.0000,top
"SW10","Tactile Button","SW_PUSH-12mm_Wuerth",180.0000,-119.0000,0.0000,top
"U1","74AHCT1G32SE-7","SOT-353_SC-70-5",139.7500,-43.5000,180.0000,top
"U2","TLP2761","SO-6L_10x3.84mm_P1.27mm",90.4616,-39.2714,270.0000,top
"U3","RP2040","RP2040-QFN-56",107.4000,-45.6000,0.0000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",99.5000,-52.4500,0.0000,top
"U5","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",122.8900,-54.0500,0.0000,top
"U6","AP64501SP-13","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias",159.5200,-42.4000,180.0000,top
"U7","74AHCT1G32SE-7","SOT-353_SC-70-5",100.5906,-77.8525,180.0000,top
"U8","FSUSB42MUX","TSSOP-10_3x3mm_P0.5mm",56.1200,-57.1100,90.0000,top
"U9","USB2514B_Bi","QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm",52.1900,-45.9600,180.0000,top
"U10","AP2553W6","SOT-23-6",73.0926,-51.8770,270.0000,top
"U11","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",25.0500,-56.9500,90.0000,top
"U12","AT24CS01-STUM","SOT-23-5",146.0000,-44.5000,0.0000,top
"Y1","Crystal_Small","Crystal_SMD_5032-2Pin_5.0x3.2mm",66.8400,-48.1200,270.0000,top
"Y2","ABM8-272-T3","ABM8-272-T3_ABR",116.0000,-54.0877,90.0000,top
